mariadb  | MariaDB data directory already exists. Skipping initialization.
mariadb  | 2025-11-25 10:23:32 0 [Note] InnoDB: innodb_buffer_pool_size_max=128m, innodb_buffer_pool_size=128m
mariadb  | 2025-11-25 10:23:32 0 [Note] InnoDB: Completed initialization of buffer pool
mariadb  | 2025-11-25 10:23:32 0 [Note] InnoDB: File system buffers for log disabled (block size=512 bytes)
mariadb  | 2025-11-25 10:23:32 0 [Note] InnoDB: End of log at LSN=46980
mariadb  | 2025-11-25 10:23:32 0 [Note] InnoDB: 128 rollback segments are active.
mariadb  | 2025-11-25 10:23:32 0 [Note] InnoDB: Setting file './ibtmp1' size to 12.000MiB. Physically writing the file full; Please wait ...
mariadb  | 2025-11-25 10:23:32 0 [Note] InnoDB: File './ibtmp1' size is now 12.000MiB.
mariadb  | 2025-11-25 10:23:32 0 [Note] InnoDB: log sequence number 46980; transaction id 14
mariadb  | 2025-11-25 10:23:32 0 [Note] Plugin 'FEEDBACK' is disabled.
mariadb  | 2025-11-25 10:23:32 0 [Note] InnoDB: Loading buffer pool(s) from /var/lib/mysql/ib_buffer_pool
mariadb  | 2025-11-25 10:23:33 0 [Warning] You need to use --log-bin to make --expire-logs-days or --binlog-expire-logs-seconds work.
mariadb  | 2025-11-25 10:23:33 0 [Note] InnoDB: Buffer pool(s) load completed at 251125 10:23:33
mariadb  | 2025-11-25 10:23:33 0 [Note] Server socket created on IP: '0.0.0.0', port: '3306'.
mariadb  | 2025-11-25 10:23:33 0 [ERROR] Can't start server : Bind on unix socket: No such file or directory
mariadb  | 2025-11-25 10:23:33 0 [ERROR] Do you already have another server running on socket: /run/mysqld/mysqld.sock ?
mariadb  | 2025-11-25 10:23:33 0 [ERROR] Aborting
